Date,AAPL_Change,AAPL_Lag 2 Significant,stock_x,GOOG_Change,GOOG_Lag 2 Significant,stock_y,MSFT_Change,MSFT_Lag 2 Significant,stock
2017-12-05,-0.0198283858998144,0,AAPL,-0.016510971105800458,1,GOOG,-0.03648424543946927,1,MSFT
2017-12-06,-0.009227493197681349,1,AAPL,0.00558266562242693,1,GOOG,0.0025817555938036922,1,MSFT
2017-12-07,0.009134328358209045,0,AAPL,0.01890164752870693,1,GOOG,0.012139791538933187,1,MSFT
2017-12-08,0.008637519966869789,0,AAPL,0.01671844222533636,0,GOOG,0.013205718439544434,1,MSFT
2017-12-11,-0.0075664261833540145,1,AAPL,-0.0019180907767786246,1,GOOG,0.00789190481884505,1,MSFT
2017-12-12,0.017434988179669153,0,AAPL,0.0039884113954611325,0,GOOG,0.012101079606121612,0,MSFT
2017-12-13,0.002033110659308779,0,AAPL,0.006242605542356118,0,GOOG,0.005040440745516239,0,MSFT
2017-12-14,-0.0005797101449275255,1,AAPL,-0.0010706228730928966,1,GOOG,-0.0036155819920689054,1,MSFT
2017-12-15,0.0071345707656611515,0,AAPL,0.009196172248803649,1,GOOG,-0.0019899332787077784,1,MSFT
2017-12-18,0.007199216725220392,0,AAPL,0.010876058448146651,0,GOOG,0.02181562280084437,-1,MSFT
2017-12-19,0.0008577310155535313,0,AAPL,0.00855470508779832,0,GOOG,-0.00883838383838398,0,MSFT
2017-12-20,-0.0009141290064560436,0,AAPL,-0.0031808035714286924,0,GOOG,-0.0017371163867978545,0,MSFT
2017-12-21,-0.004002973637559415,-1,AAPL,-0.006372576461587176,0,GOOG,-0.0017401392111369152,0,MSFT
2017-12-22,0.0029281736234714195,-1,AAPL,-0.003605803089347104,0,GOOG,-0.00755374782103413,0,MSFT
2017-12-26,-0.02221204488207007,0,AAPL,-0.002864924465889485,0,GOOG,-0.0010538641686183015,0,MSFT
2017-12-27,-0.004098360655737765,0,AAPL,-0.0006426795958678344,-1,GOOG,0.0039854647755246395,0,MSFT
2017-12-28,0.005291005291005346,0,AAPL,-0.005475746886201116,0,GOOG,0.0029188558085231357,0,MSFT
2017-12-29,-0.002807017543859591,1,AAPL,-0.004640547736781908,1,GOOG,-0.003143189755529852,0,MSFT
2018-01-02,-0.002111189303307559,1,AAPL,0.0015476918373584778,1,GOOG,0.005780684339600661,0,MSFT
2018-01-03,0.013928067700987423,0,AAPL,0.01523360741744084,1,GOOG,-0.0008127721335268179,1,MSFT
2018-01-04,5.796093433030336e-05,1,AAPL,0.022258552489406336,1,GOOG,0.006216954273429831,1,MSFT
2018-01-05,0.005216181754955418,0,AAPL,0.005514705882353033,1,GOOG,0.01235708511375444,1,MSFT
2018-01-08,0.005246771217712221,0,AAPL,0.0075228519195613686,0,GOOG,0.006160164271047375,0,MSFT
2018-01-09,0.0011471178663609027,0,AAPL,0.00650499442040231,0,GOOG,0.005102040816326482,0,MSFT
2018-01-10,-0.007963334288169643,1,AAPL,-0.011087074094105032,0,GOOG,-0.008911449520586645,0,MSFT
2018-01-11,0.008258258258258211,1,AAPL,0.008385744234800985,1,GOOG,0.0030730707944457425,1,MSFT
2018-01-12,0.009107050804742613,0,AAPL,-0.003516225255355554,1,GOOG,0.006127311925564482,0,MSFT
2018-01-16,0.009762742649563005,0,AAPL,0.02730381618454114,0,GOOG,0.016127213262659312,0,MSFT
2018-01-17,-0.00983698707138847,1,AAPL,-0.0055540348429594655,0,GOOG,-0.01132075471698113,1,MSFT
2018-01-18,0.018279875106443463,-1,AAPL,0.004608335849123568,0,GOOG,0.00808262236192192,0,MSFT
2018-01-19,-0.0042370519038857895,0,AAPL,0.0003712182144401943,1,GOOG,0.0037861915367483055,1,MSFT
2018-01-22,-0.007334415766194534,0,AAPL,0.0050007509961744745,1,GOOG,-0.0015531395606833698,1,MSFT
2018-01-23,0.0,-1,AAPL,0.019657315668708986,1,GOOG,0.02111111111111108,0,MSFT
