Date,BarackObama_sentiment_score,cnnbrk_sentiment_score,KimKardashian_sentiment_score
2016-08-09,1.1253,-4.0666,0.0
2016-08-10,,-3.6418000000000004,
2016-08-11,,-3.1917000000000004,
2016-08-12,,-1.3159,
2016-08-15,1.1230000000000002,-1.1086,1.7194999999999998
2016-08-16,1.9540000000000002,-0.5862000000000002,0.0
2016-08-17,-1.2880000000000003,0.2779,-0.6028
2016-08-18,1.0412,-1.5816999999999999,0.0
2016-08-19,-0.04219999999999996,-0.7209,3.2381
2016-08-22,2.0357,-2.5561,2.4824
2016-08-23,,-1.1413,0.6341
2016-08-24,2.0029,-6.262900000000001,1.8654000000000002
2016-08-25,0.5719,-4.851000000000001,0.4278
2016-08-26,1.2584000000000002,-4.3526,0.9277
2016-08-29,1.2485,-1.2884000000000002,3.1374
2016-08-30,1.0403,-2.679,0.7851
2016-08-31,1.1293,-3.3196,2.8411
2016-09-01,0.4215,,0.0
2016-09-02,1.5615,,4.1967
2016-09-06,,,1.1342999999999999
2016-09-07,,,1.7723
2016-09-08,0.2701,-0.016100000000000003,0.8584
2016-09-09,-0.5920000000000001,-2.9279999999999995,0.3034
2016-09-12,,-1.4174000000000002,
2016-09-13,-0.37470000000000003,-1.6285000000000003,-0.8543
2016-09-14,1.1229,-0.7738,4.8488
2016-09-15,0.48229999999999995,-0.06389999999999996,4.609
2016-09-16,1.1823000000000001,-2.5848,0.0
2016-09-19,0.0,-3.3064999999999998,0.0
2016-09-20,1.1122999999999998,-3.0517000000000003,0.8370000000000001
2016-09-21,0.8233999999999999,-7.316300000000001,2.1859
2016-09-22,-0.596,-7.501099999999999,0.6739
2016-09-23,0.4578,-3.0974999999999997,0.0
2016-09-26,1.3618000000000001,-3.4427000000000003,0.0
2016-09-27,-0.29180000000000006,-0.7823,2.5201999999999996
2016-09-28,0.4546,-2.2084,-0.14239999999999997
2016-09-29,-0.5264,-8.284699999999999,0.0
2016-09-30,0.5965,-2.6027,0.12180000000000007
2016-10-03,-0.2067,,1.6987
