Date,Price,Change
2000-06-12,69.0,-0.008905486929043471
2000-06-13,66.75,-0.03260869565217395
2000-06-14,69.81,0.045842696629213586
2000-06-15,70.81,0.014324595330181822
2000-06-16,72.62,0.025561361389634163
2000-06-19,72.56,-0.0008262186725420673
2000-06-20,73.87,0.01805402425578828
2000-06-21,77.0,0.042371734127521155
2000-06-22,81.37,0.05675324675324678
2000-06-23,79.94,-0.017574044488140705
2000-06-26,77.5,-0.030522892169126847
2000-06-27,79.25,0.022580645161290214
2000-06-28,79.0,-0.003154574132492094
2000-06-29,78.25,-0.009493670886076
2000-06-30,77.06,-0.015207667731629404
2000-07-03,79.69,0.03412924993511535
2000-07-05,79.87,0.0022587526665831525
2000-07-06,78.87,-0.012520345561537471
2000-07-07,81.27,0.030429821224800202
2000-07-10,80.69,-0.007136704811123384
