,Change VIX,Direction VIX,Lag 1 Change VIX,Lag 1 Direction VIX,Lag 2 Change VIX,Lag 2 Direction VIX,Lag 5 Change VIX,Lag 5 Direction VIX,Change SPY,Direction SPY,Lag 1 Change SPY,Lag 1 Direction SPY,Lag 2 Change SPY,Lag 2 Direction SPY,Lag 5 Change SPY,Lag 5 Direction SPY,BarackObama_sentiment_score,BarackObama_heuristic_score,cnnbrk_sentiment_score,cnnbrk_heuristic_score,KimKardashian_sentiment_score,KimKardashian_heuristic_score,Trump_sentiment_score,Trump_heuristic_score,New York Times_sentiment_score,New York Times_polar_score,CNN_sentiment_score,CNN_polar_score,Washington Post_sentiment_score,Washington Post_polar_score,NYT_sentiment_score,NYT_polar_score
Lag 5 Direction SPY,0.0026879452094827616,-0.007327034175308574,-0.396535241946415,-0.36061232042892705,-0.5347719813937543,-0.5519775238202467,-0.5347719813937543,-0.5519775238202467,-0.017546519272126696,-0.026007123026941057,0.4673107278891557,0.4952218655400168,0.6932809349853092,1.0,0.6932809349853092,1.0,-0.006735344518394784,-0.004625181824469958,-0.057027080466035086,-0.05396812260414706,-0.049482185907996634,-0.04935126712799731,-0.06779738162355664,-0.0561404722489212,-0.010033929543848784,0.03391866810474312,-0.016963557459779156,-0.0014840435397513885,0.03482447217721012,0.049904313081109763,-0.0018178397689629308,-0.009652807229418685
BarackObama_sentiment_score,0.030044711411154928,0.04747803106448568,-0.02404423167917411,0.003132791060761076,-0.032888353463506166,0.016019268554142346,-0.032888353463506166,0.016019268554142346,-0.06775693034097284,-0.07464894434451941,0.0353618079781915,-0.01705575879901242,0.036151137455118165,-0.006735344518394784,0.036151137455118165,-0.006735344518394784,1.0,0.9967947601639069,-0.09541100364555584,-0.09279524509736092,0.2895185847100118,0.29267797414493907,0.1689589804436311,0.1475726290946348,0.08939773186397076,0.037915497620482054,-0.11433165511703762,-0.11278499507762027,-0.13106706979069527,-0.05139499864074714,0.12584926692378903,0.15126673803119206
BarackObama_heuristic_score,0.034922304327920824,0.05221343529559993,-0.028060528455415172,0.002035986546726779,-0.03809890620612537,0.011839486848394207,-0.03809890620612537,0.011839486848394207,-0.07024665300454166,-0.07855286257838881,0.036814931420169825,-0.020792380607846574,0.039159409766376704,-0.004625181824469958,0.039159409766376704,-0.004625181824469958,0.9967947601639069,1.0,-0.11235164966149327,-0.10923206961151923,0.3004675198220295,0.304074408981024,0.16401807119699546,0.14273526414945278,0.08548383746467444,0.03229247961129758,-0.11646194861645541,-0.10633912152339657,-0.15129917266089543,-0.05871538754263143,0.12707621736642774,0.1430228815722356
cnnbrk_sentiment_score,0.012987242471066626,0.01755994713944427,0.0512912377961749,0.023480434144824532,0.04248465836530457,0.01780906266759781,0.04248465836530457,0.01780906266759781,-0.002351861411943674,0.014564508680043978,-0.032560608171317854,0.008122152235233535,-0.032328507471055055,-0.057027080466035086,-0.032328507471055055,-0.057027080466035086,-0.09541100364555584,-0.11235164966149327,1.0,0.9970250279863172,-0.06725590503839876,-0.06531142520316642,0.06818122662224263,0.04756916967363228,0.013257993095186476,0.06880581706082349,0.22240490673460406,0.08756720368174993,0.3844296805006084,0.127886931400542,-0.06713496929158988,0.026830739581745453
cnnbrk_heuristic_score,0.009993755631049137,0.00996025680695494,0.058079191324511045,0.022751707970588817,0.04110953363810716,0.017302461649525376,0.04110953363810716,0.017302461649525376,-0.005643364817146547,0.008351582987025964,-0.02873263478464736,0.01185375854362645,-0.028475589546881726,-0.05396812260414706,-0.028475589546881726,-0.05396812260414706,-0.09279524509736092,-0.10923206961151923,0.9970250279863172,1.0,-0.05968367101921486,-0.05848809236874042,0.07622779267486982,0.06682028346475712,0.008738294272866463,0.05645606792264948,0.22324444320215606,0.09027967685022664,0.3689021406199892,0.12542942733982593,-0.06508375360240971,0.032788581229602216
KimKardashian_sentiment_score,0.03189367209051521,0.049409138642706886,0.03456101780847002,0.04464079320068409,-0.01294844434821254,-0.00025987580630987907,-0.01294844434821254,-0.00025987580630987907,-0.048598242199951194,-0.05706869811903889,-0.05458820005063828,-0.07903592437610495,-0.02574410538269797,-0.049482185907996634,-0.02574410538269797,-0.049482185907996634,0.2895185847100118,0.3004675198220295,-0.06725590503839876,-0.05968367101921486,1.0,0.993954023154759,0.18969016029980207,0.26227890291497,0.07592897706544803,0.028823183882453404,-0.10945080633147394,-0.09829729373570423,-0.2116239080832004,-0.1111419752387398,0.1504064315560076,0.13687183976416828
KimKardashian_heuristic_score,0.03005150475234045,0.047240116149812286,0.0360564475156436,0.0470748519232216,-0.015282720464452431,-0.005477392368934488,-0.015282720464452431,-0.005477392368934488,-0.04454865746122413,-0.05393170102319597,-0.05600513190374011,-0.08018706938714955,-0.023964908828859183,-0.04935126712799731,-0.023964908828859183,-0.04935126712799731,0.29267797414493907,0.304074408981024,-0.06531142520316642,-0.05848809236874042,0.993954023154759,1.0,0.1919099325637487,0.2656616393084853,0.07553699865974012,0.026908707871693503,-0.11425829448348576,-0.09181059952619117,-0.21168939066050937,-0.11482334898242438,0.14719043190921682,0.13730061852496517
Trump_sentiment_score,-0.03630543013082384,-0.015044599698547267,0.06798646252002882,0.06440747263907046,0.03686216523328827,0.021043608666900544,0.03686216523328827,0.021043608666900544,0.009075102145013742,-0.03150320761966998,-0.04497410146885804,-0.08476257651602935,-0.04444789148422021,-0.06779738162355664,-0.04444789148422021,-0.06779738162355664,0.1689589804436311,0.16401807119699546,0.06818122662224263,0.07622779267486982,0.18969016029980207,0.1919099325637487,1.0,0.7584447791584323,0.11376957707818043,0.1469358190075813,-0.06839013278051251,-0.06907651376912996,0.12661052139715315,0.10710721792718933,0.018377216726069383,0.12989759221770603
Trump_heuristic_score,-0.013820651020734199,-0.0006939310878723167,0.03235157987354068,0.06848875495581311,0.030928385786235586,0.0329193677760657,0.030928385786235586,0.0329193677760657,0.02435607367255116,-0.04184284081706305,-0.034260207414188754,-0.0736203733357004,-0.04952588143687264,-0.0561404722489212,-0.04952588143687264,-0.0561404722489212,0.1475726290946348,0.14273526414945278,0.04756916967363228,0.06682028346475712,0.26227890291497,0.2656616393084853,0.7584447791584323,1.0,0.052519715007410664,0.12807996619276557,-0.00401823998341879,-0.05036290125800312,0.09194101412555164,0.08874081283692581,0.06250809950733849,0.10542527396957528
New York Times_sentiment_score,-0.03518462016736291,-0.03125474714061931,0.009023424788918986,-0.005969912912920027,0.004557249753413379,-0.011951083087870979,0.004557249753413379,-0.011951083087870979,0.02218673952955246,-0.006266333456548533,-0.008333735814857992,-0.05562230281021165,-0.003694776966494315,-0.010033929543848784,-0.003694776966494315,-0.010033929543848784,0.08939773186397076,0.08548383746467444,0.013257993095186476,0.008738294272866463,0.07592897706544803,0.07553699865974012,0.11376957707818043,0.052519715007410664,1.0,0.270423121280712,0.12513192101429058,0.048451752899562474,0.13575197844708048,0.03918075510796734,0.08176263042764817,0.048334045932520546
