Date,sentiment_score,polar_score
2015-07-14,0.24695,0.4939
2015-07-15,-0.038075000000000005,0.22450000000000003
2015-07-16,-0.11379999999999998,-0.07289999999999996
2015-07-17,-0.09786304347826086,-0.14759999999999995
2015-07-20,-0.14191111111111113,-0.7003
2015-07-21,-0.1395529411764706,-0.23860000000000003
2015-07-22,0.020766666666666662,0.18689999999999996
2015-07-23,-0.12273333333333332,-0.4404
2015-07-24,-0.027307317073170724,-0.14779999999999993
2015-07-27,-0.05547142857142857,-0.0837
2015-07-28,-0.012735294117647053,0.054300000000000015
2015-07-29,-0.09042499999999999,-0.06589999999999996
2015-07-30,-0.017674999999999996,0.28120000000000006
2015-07-31,-0.07198571428571429,-0.22560000000000002
2015-08-03,0.0258,0.0516
2015-08-04,-0.1909,-0.3818
2015-08-05,-0.10666666666666665,-0.09369999999999998
2015-08-06,-0.12072727272727271,-0.14100000000000001
2015-08-07,-0.43135,-0.8627
2015-08-21,0.0,0.0
2015-10-29,0.0,0.0
2015-11-16,-0.4588,-0.9176
2015-11-24,0.0,0.0
2015-11-26,0.0,0.0
2015-12-02,0.8402,1.6804
2015-12-08,-0.743,-1.486
2015-12-11,0.0,0.0
2015-12-17,-0.4939,-0.9878
2015-12-21,0.5719,1.1438
2015-12-23,0.765,1.53
2015-12-24,0.0,0.0
2016-01-08,-0.8316,-1.6632
2016-01-14,0.0,0.0
2016-01-26,0.0,0.0
2016-01-27,0.0,0.0
2016-02-19,-0.296,-0.592
2016-03-03,-0.5423,-1.0846
2016-03-10,0.25,0.5
2016-03-23,0.0,0.0
2016-03-31,-0.4404,-0.8808
2016-04-05,-0.3182,-0.6364
2016-04-21,0.4019,0.8038
2016-04-26,-0.17,-0.34
2016-04-28,0.0,0.0
2016-05-10,0.0,0.0
2016-05-18,0.0,0.0
2016-05-19,-0.05135,-0.1027
2016-05-23,-0.1531,-0.3062
2016-05-25,0.0,0.0
2016-05-27,0.1027,0.2054
2016-06-01,0.0,0.0
