Date,Price,Change
2006-04-11,69.03,-0.017226651480637734
2006-04-12,68.14,-0.012892945096334985
2006-04-13,66.3,-0.02700322864690352
2006-04-17,66.51,0.003167420814479849
2006-04-18,65.0,-0.022703352879266392
2006-04-19,66.82,0.027999999999999803
2006-04-20,69.5,0.04010775217000906
2006-04-21,68.47,-0.014820143884892056
2006-04-24,66.92,-0.022637651526215774
2006-04-25,65.97,-0.014196054991034157
2006-04-26,66.6,0.009549795361528002
2006-04-27,67.74,0.017117117117117164
2006-04-28,69.25,0.022291113079421443
2006-05-01,70.78,0.022093862815884435
2006-05-02,70.15,-0.008900819440519903
2006-05-03,71.95,0.02565930149679252
2006-05-04,71.22,-0.010145934676858981
2006-05-05,71.86,0.008986239820275133
2006-05-08,72.99,0.01572502087392147
2006-05-09,71.83,-0.015892588025756882
2006-05-10,71.29,-0.007517750243630661
2006-05-11,70.8,-0.006873334268481024
2006-05-12,67.7,-0.043785310734463234
2006-05-15,67.37,-0.004874446085672113
2006-05-16,68.1,0.01083568353866693
2006-05-17,64.705,-0.04985315712187954
2006-05-18,65.68,0.015068387296190533
2006-05-19,63.26,-0.03684531059683327
2006-05-22,63.87,0.009642744230161204
2006-05-23,64.86,0.015500234852043215
2006-05-24,62.99,-0.028831329016342888
2006-05-25,64.26,0.020161930465153244
2006-05-26,64.31,0.0007780890133830543
2006-05-30,63.29,-0.01586067485616549
2006-05-31,61.755,-0.024253436561858077
2006-06-01,59.85,-0.030847704639300533
2006-06-02,62.99,0.05246449456975766
2006-06-05,61.15,-0.0292109858707732
2006-06-06,60.22,-0.015208503679476681
2006-06-07,60.1,-0.0019926934573231136
2006-06-08,58.44,-0.027620632279534152
2006-06-09,61.18,0.04688569472963722
2006-06-12,58.83,-0.038411245505067027
2006-06-13,57.61,-0.020737718850926345
2006-06-14,58.28,0.011629925360180593
2006-06-15,57.3,-0.016815374056280086
2006-06-16,58.955,0.028883071553228667
2006-06-19,57.83,-0.019082350945636484
2006-06-20,57.61,-0.0038042538474839516
2006-06-21,57.74,0.0022565526818261183
2006-06-22,58.2,0.007966747488742598
2006-06-23,59.72,0.026116838487972416
2006-06-26,59.17,-0.00920964501004684
2006-06-27,59.09,-0.0013520365049856098
2006-06-28,57.29,-0.03046200710780178
2006-06-29,56.76,-0.009251178216093559
2006-06-30,57.59,0.014622973925299654
2006-07-03,57.52,-0.0012154888001388864
2006-07-05,57.15,-0.0064325452016690265
2006-07-06,57.09,-0.0010498687664041162
2006-07-07,55.48,-0.028201086004554288
2006-07-10,55.7,0.003965392934390799
2006-07-11,55.11,-0.010592459605026971
2006-07-12,55.17,0.0010887316276537717
2006-07-13,52.03,-0.056914990030813906
2006-07-14,52.5,0.009033250048049224
2006-07-17,51.73,-0.014666666666666717
2006-07-18,53.16,0.02764353373284356
2006-07-19,52.96,-0.003762227238525151
2006-07-20,60.96,0.1510574018126889
2006-07-21,59.82,-0.01870078740157477
2006-07-24,61.26,0.02407221664994985
2006-07-25,61.78,0.008488410055501161
2006-07-26,62.0,0.0035610229847846675
2006-07-27,64.505,0.040403225806451504
2006-07-28,63.94,-0.008759010929385247
