Date,Price,Change,Direction,Lag 1 Price,Lag 2 Price,Lag 5 Price,Lag 1 Change,Lag 1 Direction,Lag 1 Significant,Lag 2 Change,Lag 2 Direction,Lag 2 Significant,Lag 5 Change,Lag 5 Direction,Lag 5 Significant
2017-06-12,69.25,-0.03866176164364543,-1,70.02,70.91,70.91,0.011119133574007163,1,1,0.023971119133573957,1,1,0.023971119133573957,1,1
2017-06-13,70.02,0.011119133574007069,1,70.91,69.27,69.27,0.012710654098828916,1,1,-0.010711225364181664,-1,-1,-0.010711225364181664,-1,-1
2017-06-14,70.91,0.012710654098828877,1,69.27,69.73,69.73,-0.023127908616556208,-1,-1,-0.016640812297278137,-1,-1,-0.016640812297278137,-1,-1
2017-06-15,69.27,-0.023127908616556225,-1,69.73,70.5,70.5,0.006640681391655955,1,0,0.017756604590731976,1,1,0.017756604590731976,1,1
2017-06-16,69.73,0.006640681391655967,1,70.5,70.82,70.82,0.01104259285816716,1,1,0.015631722357665124,1,1,0.015631722357665124,1,1
2017-06-19,70.5,0.011042592858167222,1,70.82,70.21,70.21,0.004539007092198484,1,0,-0.004113475177305054,-1,0,-0.004113475177305054,-1,0
2017-06-20,70.82,0.004539007092198455,1,70.21,70.54,70.54,-0.008613386049138654,-1,0,-0.003953685399604447,-1,0,-0.003953685399604447,-1,0
2017-06-21,70.21,-0.008613386049138638,-1,70.54,70.09,70.09,0.004700185158809465,1,0,-0.0017091582395668758,-1,0,-0.0017091582395668758,-1,0
2017-06-22,70.54,0.004700185158809545,1,70.09,71.4,71.4,-0.006379359228806391,-1,0,0.012191664303941018,1,1,0.012191664303941018,1,1
2017-06-23,70.09,-0.0063793592288063925,-1,71.4,70.11,70.11,0.018690255385932403,1,1,0.00028534741047219316,1,0,0.00028534741047219316,1,0
2017-06-26,71.4,0.018690255385932497,1,70.11,69.21,69.21,-0.018067226890756388,-1,-1,-0.03067226890756319,-1,-1,-0.03067226890756319,-1,-1
2017-06-27,70.11,-0.01806722689075635,-1,69.21,69.38,69.38,-0.012836970474967988,-1,-1,-0.010412209385251805,-1,-1,-0.010412209385251805,-1,-1
2017-06-28,69.21,-0.012836970474968012,-1,69.38,68.78,68.78,0.002456292443288567,1,0,-0.006212975003612089,-1,0,-0.006212975003612089,-1,0
2017-06-29,69.38,0.002456292443288488,1,68.78,69.33,69.33,-0.008648025367540996,-1,0,-0.0007206687806283823,-1,0,-0.0007206687806283823,-1,0
2017-06-30,68.78,-0.008648025367540946,-1,69.33,68.255,68.255,0.007996510613550408,1,0,-0.007633032858389149,-1,0,-0.007633032858389149,-1,0
2017-07-03,69.33,0.007996510613550445,1,68.255,68.27,68.27,-0.015505553151593868,-1,-1,-0.015289196595990226,-1,-1,-0.015289196595990226,-1,-1
2017-07-05,68.255,-0.015505553151593854,-1,68.27,68.7,68.7,0.00021976411984470835,1,0,0.006519668888726209,1,0,0.006519668888726209,1,0
2017-07-06,68.27,0.0002197641198447009,1,68.7,69.46,69.46,0.006298520580049902,1,0,0.017430789512230815,1,1,0.017430789512230815,1,1
2017-07-07,68.7,0.006298520580049871,1,69.46,70.0,70.0,0.011062590975254598,1,1,0.01892285298398831,1,1,0.01892285298398831,1,1
2017-07-10,69.46,0.011062590975254638,1,70.0,70.69,70.69,0.007774258566081289,1,0,0.017708033400518342,1,1,0.017708033400518342,1,1
2017-07-11,70.0,0.0077742585660813815,1,70.69,71.5,71.5,0.009857142857142825,1,0,0.02142857142857143,1,1,0.02142857142857143,1,1
2017-07-12,70.69,0.009857142857142788,1,71.5,72.24,72.24,0.011458480690338129,1,1,0.021926722308671626,1,1,0.021926722308671626,1,1
2017-07-13,71.5,0.011458480690338169,1,72.24,72.8,72.8,0.010349650349650278,1,1,0.018181818181818143,1,1,0.018181818181818143,1,1
2017-07-14,72.24,0.010349650349650295,1,72.8,73.09,73.09,0.007751937984496156,1,0,0.011766334440753165,1,1,0.011766334440753165,1,1
2017-07-17,72.8,0.007751937984496138,1,73.09,73.5,73.5,0.00398351648351657,1,0,0.009615384615384654,1,0,0.009615384615384654,1,0
2017-07-18,73.09,0.0039835164835164685,1,73.5,74.18,74.18,0.00560952250649879,1,0,0.014913120809960368,1,1,0.014913120809960368,1,1
2017-07-19,73.5,0.00560952250649871,1,74.18,73.45,73.45,0.009251700680272201,1,0,-0.0006802721088434988,-1,0,-0.0006802721088434988,-1,0
2017-07-20,74.18,0.009251700680272146,1,73.45,73.53,73.53,-0.009840927473712643,-1,0,-0.0087624696683743,-1,0,-0.0087624696683743,-1,0
2017-07-21,73.45,-0.00984092747371268,-1,73.53,73.8,73.8,0.0010891763104152253,1,0,0.004765146358066634,1,0,0.004765146358066634,1,0
2017-07-24,73.53,0.001089176310415274,1,73.8,74.34,74.34,0.003671970624234952,1,0,0.011015911872705049,1,1,0.011015911872705049,1,1
2017-07-25,73.8,0.0036719706242349655,1,74.34,73.76,73.76,0.007317073170731793,1,0,-0.0005420054200540928,-1,0,-0.0005420054200540928,-1,0
2017-07-26,74.34,0.007317073170731714,1,73.76,72.67,72.67,-0.007801990852838287,-1,0,-0.022464352972827572,-1,-1,-0.022464352972827572,-1,-1
2017-07-27,73.76,-0.007801990852838281,-1,72.67,73.3,73.3,-0.014777657266811324,-1,-1,-0.006236442516269088,-1,0,-0.006236442516269088,-1,0
2017-07-28,72.67,-0.01477765726681135,-1,73.3,73.1,73.1,0.00866932709508732,1,0,0.005917159763313508,1,0,0.005917159763313508,1,0
2017-07-31,73.3,0.008669327095087276,1,73.1,72.55,72.55,-0.002728512960436601,-1,0,-0.010231923601637109,-1,-1,-0.010231923601637109,-1,-1
2017-08-01,73.1,-0.0027285129604366354,-1,72.55,72.19,72.19,-0.007523939808481494,-1,0,-0.012448700410396672,-1,-1,-0.012448700410396672,-1,-1
2017-08-02,72.55,-0.007523939808481539,-1,72.19,72.4,72.4,-0.004962095106822873,-1,0,-0.0020675396278427493,-1,0,-0.0020675396278427493,-1,0
2017-08-03,72.19,-0.0049620951068228844,-1,72.4,72.8,72.8,0.0029089901648428865,1,0,0.008449923812162342,1,0,0.008449923812162342,1,0
2017-08-04,72.4,0.0029089901648429173,1,72.8,72.09,72.09,0.0055248618784529205,1,0,-0.004281767955801136,-1,0,-0.004281767955801136,-1,0
2017-08-07,72.8,0.005524861878452914,1,72.09,72.25,72.25,-0.009752747252747168,-1,0,-0.007554945054945016,-1,0,-0.007554945054945016,-1,0
2017-08-08,72.09,-0.009752747252747218,-1,72.25,71.9,71.9,0.00221944791233176,1,0,-0.0026355943958939897,-1,0,-0.0026355943958939897,-1,0
