Date,author,content,number_of_likes,number_of_shares
2010-08-18,Cristiano,"This week I filmed a commercial for my latest sponsor, Timeforce Watches.... http://say.ly/QLk3eG",100,288
2010-08-19,Cristiano,Here are a few photos from our match against Liege.  The team is now getting ready for our match against Hercules on... http://say.ly/emV3ft,67,200
2010-08-20,Cristiano,The team is working hard.  2 training sessions per day as we prepare for the start of La Liga.... http://say.ly/zqh3g1,60,215
2010-08-20,Cristiano,Tomorrow at 22:00 (CET) - Real Madrid vs Hercules.,62,416
2010-08-20,Cristiano,"Another weekend and some more unnecessary press.  If you want to know me, trust in what I write, not in all the stor... http://say.ly/map3gF",91,297
2010-08-23,Cristiano,@OhMyCristiano @FloorHiguain @CRonaldoTeam thanks for the support. Getting ready for a great season.,31,103
2010-08-24,Cristiano,@yasudebu Thanks for the support.  Did you watch the game?,125,78
2010-08-24,Cristiano,So far we are undefeated in the preseason.  Tonight we make our home debut (22:00 CET) against Peñarol in the Santiago Bernabeu Trophy.,37,150
2010-08-24,Cristiano,Real Madrid 2- Peñarol 0,85,553
2010-08-25,Cristiano,After last night's victory we remain undefeated in the pre-season.  Ready for the start of La Liga.... http://say.ly/OVs3hy,54,190
2010-08-26,Cristiano,@RealMedeiros Thanks for the support.  Ready for the start of La Liga,9,52
2010-08-26,Cristiano,@Maggie_DB Thanks for the support!,32,56
2010-08-27,Cristiano,I have see that there are young Spaniards and Portuguese such as @Hala Garrido and @Felipe Munoz who are fighting to... http://say.ly/wGT3id,29,85
2010-08-27,Cristiano,I have seen that there are young Spaniards and Portuguese such as @Hala Garrido and @Felipe Munoz who are fighting t... http://say.ly/fgo3ie,53,123
2010-08-27,Cristiano,Full time: Mallorca 0-0 Real Madrid.,61,356
2010-08-31,Cristiano,I’m working hard to come back from the injury as soon as possible. I intend to give my best to help the team. Thanks... http://say.ly/VSI3jf,65,305
2010-09-09,Cristiano,check out the preview of my new Armani campaign  http://www.youtube.com/watch?v=qHgKpMSsepY&p=90CB5FD62FD3D902&playnext=1,147,506
2010-09-10,Cristiano,I am pleased with the court's decision. I take pride in my professionalism & would never jeopardize my training in the manner accused.,89,319
2010-09-10,Cristiano,http://say.ly/WNc5uo - Thank you! @julianokunert @Cristiano Awesome game today! Let's go CR7 http://twitpic.com/3e7fjg,377,425
2010-09-10,Cristiano,We won! Real Madrid 4- Auxerre 0,71,514
2010-09-10,Cristiano,Muchas gracias. @doguinhassu @Cristiano felicitaciones por el partido de hoy,23,71
2010-09-10,Cristiano,"http://say.ly/dLD5uu - I answered questions about playing football for a club & my country, and shared a free kick secret.",54,123
2010-09-10,Cristiano,"Thank you, but I also have great teammates. @FranJaviMR @Cristiano great match against auxerre you'Re the best",50,100
2010-09-10,Cristiano,Parabéns @realkaka! Espero em breve conhecer a sua filha.,121,503
2010-09-15,Cristiano,http://say.ly/zWu3pU - Armani just released this video for my new campaign. What do you guys think?,148,482
2010-09-15,Cristiano,Real Madrid 2 - Ajax 0,109,736
2010-09-17,Cristiano,Hi everyone. Here are a few photos from a new commercial I am filming. I will post more soon.... http://say.ly/AHM3sB,128,366
2010-09-21,Cristiano,Real Madrid 3 - Espanyol 0,96,864
2010-09-22,Cristiano,"Hi everyone, Here are a few photos from yesterday's game.... http://say.ly/JIt3ve",83,256
2010-09-23,Cristiano,Hi everyone. Please add a caption to this picture and I will post my favorite tomorrow.... http://say.ly/MLx3wa,85,273
2010-09-24,Cristiano,"Thanks everyone for the caption ideas! Today's winner is Rudelie D.: ""Flying without wings is possible. Reach for yo... http://say.ly/WiS3z6",93,237
2010-09-28,Cristiano,Real Madrid 1- Auxerre 0,96,631
2010-09-29,Cristiano,Challenging but important win for @RealMadrid in the #Champions League yesterday!... http://say.ly/Iml3CU,68,278
2010-10-08,Cristiano,"I'm back in Madrid after the team's travel to LA. Next we prepare for Bayern Munich.

... http://say.ly/OdT3bo",66,325
2010-10-08,Cristiano,Check out my first commercial for my latest sponsor Time Force watches. http://bit.ly/cjhJfL,128,400
2010-10-11,Cristiano,Still enjoying my @nikefootball safari boots. Hope I can help the team get a win tonight against Murcia. ... http://say.ly/VOi4HI,59,175
2010-10-11,Cristiano,Real Madrid 5 - Murcia 1 ... http://say.ly/gKs4Ii,100,688
2010-10-12,Cristiano,"http://say.ly/kEz5uH - Different types but I do enjoy action movies alot. If U haven't seen Man of Fire, U should. @... http://say.ly/llx5wn",38,88
2010-10-12,Cristiano,You and @Ochocinco both. @shrued I just started following @Cristiano only because I was interested in learning Portuguese. Seriously.,60,80
2010-10-12,Cristiano,"A lot-probably 1st game for national team, being player of the year +reception in Madrid @BboyLupe17 What's most cherished futbol moment?",40,84
2010-10-12,Cristiano,Preparing hard for the next game. ... http://say.ly/tdk5wu,97,174
2010-10-12,Cristiano,Another shot working hard on the pitch.,57,145
2010-10-12,Cristiano,My family just sent this. Thank you for the great seats @LadyGaga. They are loving it.... http://say.ly/ibC5x3,85,283
2010-10-12,Cristiano,Here's another picture from my family. They are having great time at @LadyGaga.... http://say.ly/wqp5x5,78,263
2010-10-13,Cristiano,Portugal 3 - Iceland 1,135,666
2010-10-13,Cristiano,Heated things up in Iceland yesterday!... http://say.ly/ogO3UM,69,165
2010-10-14,Cristiano,Back in Madrid training for Spanish league game on Saturday.,84,299
2010-10-15,Cristiano,Going  south of Spain for a difficult game against Malaga tomorrow.,81,212
2010-10-15,Cristiano,Check out my off pitch wins in my new commercial!... http://say.ly/IaS3YP,79,199
