Date,author,content,number_of_likes,number_of_shares
2013-02-20,katyperry,HAPPIEST 25TH BIRTHDAY to my baby girl @rihanna! I wish I could b there drinking Mai-Tais &amp; telling haters to eat a d🍆ck w/u! 💘U. 🎂🍹🎉💋,14460,22507
2013-02-22,katyperry,Oy! Do me a favor &amp; check out my friend @jonlovett's new show 1600 Penn tonight at 9:30 on NBC because it's... funny! WHY ELSE?!,1912,3163
2013-02-26,katyperry,"Today is my cat, monkey's 3rd birthday. That's 21 in cat years. Crunk on cat nip. http://t.co/0KBT4S5Wrb",7364,6731
2013-02-27,katyperry,GUYS. One of my favorite new songwriters @kaseymusgraves is putting out a full record full of GEMS! Preorder it here: http://t.co/8vRZkDbAwm,1945,2977
2013-02-27,katyperry,"If I were a cookie, I would be a thin mint girl scout cookie. FYI",7733,11913
2013-03-04,katyperry,I just watched what looked like a 7 year old girl make her own marmite sandwich. #differentplacesdifferenttastes,2330,3304
2013-03-04,katyperry,Okay I just made one myself. #easilyinfluencedbysevenyearolds,2843,3738
2013-03-04,katyperry,@BonnieMcKee don't be ashamed.,1217,1847
2013-03-05,katyperry,Just had an elegant unveiling of my new fragrance 🌹KILLER QUEEN🌹 at the Duke! Can't wait to share the royal juice! #sosophisticated,2950,4311
2013-03-05,katyperry,Tonight's killer mani to match! http://t.co/nwrJJ7LbJe,5625,5277
2013-03-05,katyperry,"Sometimes it takes me weeks, months, years to write a song and then sometimes... God gives it to me in a moment. Oh, I love this moment.",10144,11200
2013-03-08,katyperry,Gold rush #1 http://t.co/aoGpQtawSc,3154,3748
2013-03-08,katyperry,Gold rush #2 http://t.co/mIOu9eWjwg,3498,4095
2013-03-08,katyperry,Good 👀 “@supportafter: @supportafter spotted @katyperry's #PRISM just east of Vail heading to Denver! http://t.co/EAaswpa0CZ”,2402,2523
2013-03-08,katyperry,PARISIANS! TONIGHT IT'S KATY &amp; KENZO on Le Grand Journal! TUNE IN! http://t.co/yRMxxVyF64,5627,4909
2013-03-08,katyperry,"Check out one of my BEST girlies, @Sia's NEW song she did with @diplo ELASTIC HEART: https://t.co/tmTTqkYpR7",2386,2943
2013-03-12,katyperry,"KITTENS! Click here: http://t.co/s4cqhg0Wq9 to see exclusive photos of @JohnMayer &amp; me for our single ""Who You Love"" shot by Mario Sorrenti!",5256,4809
2013-03-12,katyperry,And if you haven't got ❤️💕WHO YOU LOVE💕❤️on your playlist yet grab it HERE: http://t.co/3tlH7Uf62O,4370,3847
2013-03-12,katyperry,Guys! I am SO honored to become a @UNICEF Goodwill Ambassador today! I am #unconditionallyUNICEF: http://t.co/BfOuNwVdoW @voicesofyouth,5930,5262
2013-03-15,katyperry,"Perfectly put, by Daughter: https://t.co/dWeVdxJF6l",1805,2834
2013-03-15,katyperry,Happy St. Patrick's Day everyone...AKA Ultimate test of sobriety day! #CHEERS,3670,5565
2013-03-18,katyperry,Zooohmigawd! The Britney Spears sequence in Spring Breakers! 👙💄💅💋🍄🚬💊🍸🍻🎱🔫💘🍓🍭🍩🍟🍔🍕,5026,7862
