Date,author,content,number_of_likes,number_of_shares,sentiment_score,heuristic_score
2016-02-09,cnnbrk,Brock Turner out of jail after serving 3 months for sexually assaulting unconscious woman. https://t.co/V156KO1vhW https://t.co/KbJBhAUpMH,422,767,-0.5106,-0.5106
2016-02-09,cnnbrk,"Explosion at market in Davao City, Philippines, kills at least 10, senior official says. https://t.co/0n9AHVsCCL https://t.co/72PZVFz3DB",333,521,-0.5423,-0.5423
2016-02-09,cnnbrk,President puts Philippines on lockdown after explosion in his hometown kills at least 15 https://t.co/w8ToQZnFFO https://t.co/00GBOLcXey,453,463,-0.5423,-0.5423
2016-02-10,cnnbrk,"Two days after Congress paved the way, 9/11 widow sues Saudi Arabia. https://t.co/WfpY9jn7y9 https://t.co/BkWKDpDaNn",991,571,0.0,0.0
2016-02-10,cnnbrk,Clinton campaign jumps on @NYTimes report showing Trump declared $916M loss in 1995 tax records. https://t.co/IdpS4lUW6M,2120,1271,-0.3182,-0.3182
2016-02-11,cnnbrk,Is the curse about to end? Cubs force World Series Game 7. https://t.co/F65EX9uzXB,1967,577,-0.5423,-0.5423
2016-02-11,cnnbrk,A new official report says #MH370 was spiraling fast in its final moments. https://t.co/VH2dEZThbv,568,517,0.0,0.0
2016-02-11,cnnbrk,"2 officers killed in two separate ambush shootings near Des Moines, Iowa, police say. Suspect is at large. https://t.co/9UpUbyfPsa",537,716,-0.7717,-0.7717
2016-02-11,cnnbrk,Police identify suspect in Iowa ambush shootings that killed two officers as Scott Michael Greene.… https://t.co/7h6lmFXoGZ,506,698,-0.7717,-0.7717
2016-02-11,cnnbrk,"Police say Scott Michael Greene, suspect in Iowa ambush shootings that killed 2 officers, has been captured.… https://t.co/K4yfrlC6al",721,521,-0.7717,-0.7717
2016-02-11,cnnbrk,"CNN/ORC battleground poll: Trump ahead in Nevada, Arizona; Clinton up in Florida, Pennsylvania.… https://t.co/vVnETP5efb",459,331,-0.4019,-0.4019
2016-02-11,cnnbrk,"Gawker, wrestler Hulk Hogan reach settlement after 4-year court battle left media company bankrupt.… https://t.co/r5ynCWlSNd",508,289,-0.3612,-0.3612
2016-02-11,cnnbrk,"Jury seated in trial of Michael Slager, S.C. ex-cop charged in 2015 death of motorist Walter Scott.… https://t.co/1JSIfe2nB7",204,150,-0.6908,-0.6908
2016-02-12,cnnbrk,Donald Trump confirms retired Gen. James Mattis as his nominee for Defense Secretary during a rally in Ohio. Watch:… https://t.co/qmL8GU0ZrW,1115,442,0.128,0.128
2016-02-12,cnnbrk,"UN apologizes for not doing enough to stop a cholera epidemic in Haiti, an outbreak blamed on the organization… https://t.co/5Va2iRPhUP",518,445,-0.4215,-0.4215
2016-02-12,cnnbrk,"Nearly three times as many Iraqi troops died fighting ISIS in November as in October, UN figures show… https://t.co/iTYc4byUqb",275,198,-0.7269,-0.7269
2016-02-12,cnnbrk,Michigan's attorney general says he has filed a request with the state supreme court to stop the election recount… https://t.co/1ggPmeV2Od,850,507,0.34,0.34
2016-02-12,cnnbrk,"As the death toll for the Gatlinburg-area fire rises, Tennessee officials release names of some of the dead… https://t.co/oOkQFHOH1S",227,172,-0.743,-0.743
2016-02-12,cnnbrk,"Man suspected in killing of ex-NFLer released from custody, authorities say https://t.co/9OzTx7tjj0 https://t.co/qYPLeiMoS9",209,227,-0.743,-0.743
2016-02-12,cnnbrk,"Howard Dean drops his bid to chair the DNC, citing ""other priorities"" and a ""possibly divisive"" race. https://t.co/mqiCtqggfQ",370,140,0.0,0.0
2016-02-12,cnnbrk,"Trump speaks with Taiwan's President on Friday, a move that could heighten diplomatic tensions with China.… https://t.co/3IWfGfoYKc",644,502,-0.4019,-0.4019
2016-03-08,cnnbrk,"N. Korea fired a ballistic missile around 7:50 a.m. local time, S. Korean officials say https://t.co/8shNEwgQS1 https://t.co/VxlbDosKvR",701,804,-0.5574,-0.5574
