Date,author,content,number_of_likes,number_of_shares
2015-11-18 23:34:00,britneyspears,@alleycat1018 I’m so proud of my fans for helping me with this! It makes me SO happy to see everyone be so supportive!,785,250
2015-11-19 19:31:00,britneyspears,#TBT #WildNightAtTheZoo event for @NVCCF 🐒🐘🐍 Showing my love for this charity again on https://t.co/aMa11qTtBl! https://t.co/ba8m8RNYz8,4267,1415
2015-11-20 22:37:00,britneyspears,Give ‘em 5!✋Last day to donate to @NVCCF on https://t.co/1hC2SwwYNC! This has been an amazing week… Thank you ALL for supporting!,2210,878
2015-11-20 22:39:00,britneyspears,@TylerXtotheO Awww YOU inspire ME!,668,182
2015-11-20 22:40:00,britneyspears,@chrisbrit1789 Yes!!! Love that attitude 😊,756,203
2015-11-22 00:13:00,britneyspears,Work play work play https://t.co/SjbGwbmNqR,10663,3552
2015-11-22 02:06:00,britneyspears,Right before the tree lighting at @TheLINQ today! Here comes the holiday spirit🎄🎅🎁 https://t.co/UjAUVvphAv,7028,2203
2015-11-22 07:39:00,britneyspears,Thank you to everyone who made today wonderful! I love you all ❤️ https://t.co/vP7uxBqDyk,7934,2454
2015-11-22 20:41:00,britneyspears,#SexySunday 📷 by @glennnutley https://t.co/ScLo8mfCdX,12078,4679
2015-11-27 00:40:00,britneyspears,Meeting Lucille Ball! https://t.co/izoXyYTmKM,6925,1931
2015-11-29 03:33:00,britneyspears,I could dance to this song a million times...love you @Adele! https://t.co/s04p6pD6ri,14679,7433
2015-11-30 07:22:00,britneyspears,Yeah I know I've got a big forehead... but it was a really great book! https://t.co/sa9GS7wHPx,10907,3305
2015-12-02 17:54:00,britneyspears,"Thank you to everyone who donated to @NVCCF! Not only did you make a HUGE impact, but you also made it the best Valentine's Day EVER!",2153,1605
2015-12-02 21:28:00,britneyspears,"New season, new sets! Here's my entire @IntimateBritney Spring/Summer 2015 collection :) http://t.co/kR4Bkouglf",8167,4809
2015-12-02 21:35:00,britneyspears,So happy to have new @IntimateBritney pieces for you all! #Elma and #Elvira are now available online! http://t.co/GCRfFGhPFj,2254,1842
2015-12-03 22:26:00,britneyspears,Thank u to @billboard &amp; to the talented @joepugliese for this shot. New cover out tomorrow! http://t.co/PNX5y0QY3n http://t.co/Sfmmy1ccaV,5363,3620
2015-12-06 18:06:00,britneyspears,You never know what caution you're gonna get in the wild http://t.co/XckpBbbSO4,5996,3106
2015-12-06 21:06:00,britneyspears,I think I owe this one to all my amazing Twitter followers… You guys are THE BEST ❤ https://t.co/0jWH163Bqi,4010,2107
2015-12-06 22:27:00,britneyspears,Happy Friday! http://t.co/9c2tU5cyqE,3454,1917
2015-12-07 22:54:00,britneyspears,@doc_pom25 Thanks for spreading the word!,569,205
2015-12-07 22:56:00,britneyspears,@TheAndreaDiaz YES! So close to the goal!!,597,217
2015-12-08 19:00:00,britneyspears,"@HereIsGina With you, girl. Soooooo excited!",707,301
2015-12-08 19:02:00,britneyspears,@jaimecamil Awww thank you so so much 😘 Can’t wait!!,804,353
2015-12-08 19:05:00,britneyspears,@yaelgrobglas Thank you! I already know I’m going to love it!,649,245
2015-12-08 19:07:00,britneyspears,@justinbaldoni Lol Thanks for the warm welcome!! ❤❤,738,284
2015-12-10 04:40:00,britneyspears,Good night sweet dreams! 🌙💙 http://t.co/zKYBIKvxUv,9947,4446
2015-12-17 03:09:00,britneyspears,Having long hair in winter is a must! https://t.co/PNsmbt9Si3,11090,3303
2015-12-20 22:39:00,britneyspears,Happy holidays! https://t.co/2raCoY9dzs,8852,2954
2015-12-21 20:36:00,britneyspears,"Consider this my official RSVP to the show, @peopleschoice!! 😉 See you on January 6th! #PCAs https://t.co/svTJMIEIG9",8342,2490
2015-12-22 17:39:00,britneyspears,Getting older... I need my glasses! https://t.co/slu1SdUuvd,11447,3783
2015-12-28 07:23:00,britneyspears,Back in Vegas peeps! https://t.co/m6oYUXLYxK,11989,4132
2015-12-30 21:46:00,britneyspears,Watch out for Preston! https://t.co/Nw6G7WZrWS,6512,1843
2015-12-31 23:24:00,britneyspears,Happy New Years! https://t.co/e9RznsYcWi,16140,7488
2016-01-01 18:28:00,britneyspears,Big THANK YOU to #KoiLasVegas for putting together an amazing NYE party for the #PieceOfMe team last night! 🎉,4156,1247
2016-01-02 18:35:00,britneyspears,Someone jokingly asked me what I did yesterday. Check out my bruises that's what I did! Working hard on the new show https://t.co/WpqdOSC2MM,9594,2427
2016-01-03 15:03:00,britneyspears,"Looking forward to 24 more dates with you, Vegas 💖 #PieceOfMe tix go on sale 3/4 at 10am PT! https://t.co/VpcLZLCmIi https://t.co/bChMbKhG2E",5429,1787
2016-01-03 18:19:00,britneyspears,.@AmericanExpress Card Members can get early access to tix for my residency now through 3/3! https://t.co/dKRWBvpKhm https://t.co/ARkxk1uP1w,3207,990
2016-01-03 19:47:00,britneyspears,https://t.co/SlOS9LeGjJ,12846,3527
2016-01-03 21:19:00,britneyspears,On stands this week!! @vmagazine and @MarioTestino know how to make mag cover magic. 💜 #V100 https://t.co/FnYeWFC9OO,11163,4730
2016-01-03 23:33:00,britneyspears,Picking the boys up from school! https://t.co/L2Rr2PA4AZ,11155,3059
2016-01-04 00:23:00,britneyspears,Never want to leave this place...☀️ https://t.co/dsN0lnXVSU,11917,2913
2016-01-07 01:00:00,britneyspears,@bonboncherie congrats!! Can't wait to see your next single take off ✨,656,164
2016-01-07 01:03:00,britneyspears,"@chelseasteez lol but you're having fun, right? 😊",759,170
2016-01-07 01:06:00,britneyspears,@TonyNana you are ROCKING that gold blazer!!,845,206
2016-01-10 16:27:00,britneyspears,"Miss you, London!! Stopping by the @JRossShow was such a highlight from this week. Watch the episode tonight at 10:… https://t.co/J24FlS7UsY",5635,1362
2016-01-10 20:38:00,britneyspears,#iHeartFestival was soooo much fun!!! https://t.co/YBM2A7NpK4,7497,2298
2016-01-11 00:13:00,britneyspears,@iFla13 Thank you for donating to @NVCCF on @Prizeo!!! Your support means soooo much to me xoxo,363,82
2016-01-11 00:17:00,britneyspears,@Mike_J_Squirrel Wanted to thank you for your super generous  @Prizeo donation to @NVCCF! Can't tell you how much I appreciate it.,370,87
2016-01-11 00:18:00,britneyspears,"@ifuseeknicole Nicole!! Thank you SO MUCH for your @Prizeo donation to @NVCCF! So, so thankful for the support.",385,83
2016-01-11 00:19:00,britneyspears,"@RyanSalay91 I saw that @Prizeo donation, Ryan 👀 Thank you for your help in supporting @NVCCF!!!",393,88
2016-01-11 00:20:00,britneyspears,"@PSU_SSAS Thanks for donating to my @Prizeo campaign benefitting @NVCCF, Sean ❤️❤️❤️",411,90
2016-01-11 00:21:00,britneyspears,@ThemisGeo Hi! Wanted to thank you for donating to @NVCCF on @Prizeo 😊 You're soooo sweet!,432,94
2016-01-11 00:22:00,britneyspears,@ElliotFlubber Thank you for donating to @NVCFF on @Prizeo! It means the world.,472,106
2016-01-11 19:59:00,britneyspears,@RealRobertEarl You are the BEST! Thank you so much for sponsoring my @XCYCLELV Charity Ride for @NVCCF!! 😘,497,121
2016-01-12 21:14:00,britneyspears,I have one for you too @OnAirWithRyan 😉 Can’t wait to spend my birthday at #KIISJingleBall tomorrow!!! https://t.co/k7ICdE9lOm,4966,1758
2016-01-14 01:31:00,britneyspears,So proud of @jamielynnspears for writing #IGotTheBoy by @kramergirl. Got it on repeat &amp; I recommend you do the same! https://t.co/hRuuJYFu3j,4103,1340
2016-01-14 03:41:00,britneyspears,Got a spray tan...look a little like an Oompa Loompa 😜 https://t.co/3jajWvJSBh,9051,2499
2016-01-19 20:04:00,britneyspears,Rehearsals today!!! https://t.co/A7ARfHxhcJ,5996,2012
2016-01-20 23:54:00,britneyspears,It's so hot in here... #PieceOfMe https://t.co/pmSvZOUTno,7992,4137
